source_text,target_text
POS Print Settings,إعدادات طباعة نقاط البيع
Kitchen,المطبخ
KOT, طلبات المطبخ
Recipe Cost Calculator,حاسبة تكلفة الوصفة
Recipe Calculator,حاسبة الوصفة
point-of-sale,نقطة البيع
Data & Settings,البيانات والإعدادات
Kitchen Order Ticket,تذكرة طلب المطبخ
Table Number,رقم الطاولة
Connections,الاتصالات
New Version,إصدار جديد
Calculte Cost,احسب التكلفة
Standard Selling,سعر البيع القياسي
Standard Buying,سعر الشراء القياسي
Finished Items,المنتجات التامة
Cost/profit,التكلفة / الربح
Profit,الربح
Total Sales,إجمالي المبيعات
Restaurant Print Format,تنسيق طباعة المطعم
Print Type,نوع الطباعة
Print Method,طريقة الطباعة
Default,افتراضي
Automatic Before Submit,تلقائي قبل الإرسال
Button Only,زر فقط
Show Cards as Buttons,عرض البطاقات كأزرار
POS Print Rule,قاعدة طباعة نقاط البيع
Disable Stock Availability Check,تعطيل فحص توفر المخزون
Last Printed Invoice,آخر فاتورة مطبوعة
Dine-In,الأكل في المطعم
Takeaway,سفري
Delivery,توصيل